id,Question,Option1,Option2,Option3,Option4,Answer,Section,Difficulty,Explanation,Reference
1,"What is the current global prevalence of diabetes mellitus (2023)?","337 million people (IDF Atlas 9th Edition)","463 million people (IDF Atlas 9th Edition)","537 million people (IDF Atlas 10th Edition)","611 million people (IDF Atlas 10th Edition)",3,Epidemiology,Easy,"IDF Atlas 10th Edition reports 537 million adults with diabetes globally","IDF Diabetes Atlas 2023"
2,"According to ADA 2023 guidelines, which HbA1c level confirms diabetes diagnosis?","≥ 6.0% (42 mmol/mol)","≥ 6.5% (48 mmol/mol)","≥ 7.0% (53 mmol/mol)","≥ 7.5% (58 mmol/mol)",2,Diagnosis,Easy,"ADA defines diabetes as HbA1c ≥ 6.5% on two occasions","ADA Standards of Care 2023"
3,"First-line pharmacological treatment for Type 2 diabetes according to ADA/EASD 2022 consensus is:","Insulin glargine","Metformin","Sulfonylureas","DPP-4 inhibitors",2,Management,Easy,"Metformin remains first-line unless contraindicated","ADA/EASD Consensus Report 2022"
4,"In India, approximately what percentage of adults aged 20-79 years have diabetes?","5.3%","8.9%","12.1%","15.3%",4,Epidemiology,Medium,"77 million out of 500 million adults 20-79 years, approximately 15.3%","IDF Diabetes Atlas 2023"
5,"Which of the following best describes the pathophysiology of Type 2 diabetes mellitus?","Autoimmune destruction of pancreatic β-cells","Insulin resistance combined with relative insulin deficiency","Complete absence of insulin secretion due to genetic mutation","Pancreatic damage due to chronic pancreatitis",2,Pathophysiology,Medium,"Type 2 DM involves both insulin resistance and progressive β-cell dysfunction","Guyton & Hall Textbook of Medical Physiology"
6,"According to ADA guidelines, pre-diabetes is diagnosed when fasting plasma glucose is:","90-110 mg/dL","100-125 mg/dL","126-140 mg/dL","> 140 mg/dL",2,Diagnosis,Medium,"IFG: 100-125 mg/dL, IGT in OGTT: 140-199 mg/dL","ADA Standards of Care 2023"
7,"Which of the following is NOT a classic symptom of diabetes mellitus?","Polyuria","Polydipsia","Polyphagia","Polycythemia",4,Clinical Features,Easy,"Polycythemia is increased red blood cells, not a diabetes symptom","Harrison's Principles of Internal Medicine"
8,"The gold standard diagnostic test for diabetes mellitus is:","Fasting plasma glucose","Postprandial blood glucose","Oral glucose tolerance test (OGTT)","Random blood glucose",3,Diagnosis,Easy,"OGTT is the gold standard as it assesses glucose metabolism under standardized conditions","WHO Guidelines 2021"
9,"Which complication screening test detects early diabetic nephropathy?","Fundoscopy","Vibration perception threshold","Urine albumin-creatinine ratio","Ankle-brachial index",3,Complications,Easy,"UACR detects microalbuminuria, earliest sign of diabetic nephropathy","DKD Clinical Practice Guidelines 2022"
10,"Which modifiable risk factor has the strongest association with Type 2 diabetes?","Family history","Obesity (BMI ≥ 30 kg/m²)","Age > 45 years","Ethnicity (Asian Indian)",2,Risk Factors,Easy,"Obesity is the strongest modifiable risk factor, doubling diabetes risk","NIDDK - Diabetes Risk Factors"
11,"According to WHO ""Best Buys"" for diabetes prevention, which intervention is cost-effective at population level?","Individual counseling for high-risk persons","Corporate wellness programs","Taxing sugar-sweetened beverages","Mandatory health insurance coverage",3,Prevention,Easy,"Fiscal policies like sugar taxation are highly cost-effective for diabetes prevention","WHO - Global Report on Diabetes 2023"
12,"The Diabetes Prevention Program (DPP) trial showed that intensive lifestyle intervention reduced diabetes risk by:","20-30%","31-50%","58%","70-80%",3,Prevention,Medium,"DPP trial showed 58% reduction in diabetes incidence with lifestyle intervention over 3 years","DPP Research Group - NEJM 2002"
13,"Which waist circumference cutoff is appropriate for Asian Indians according to WHO/IDF?","> 80 cm in women, > 90 cm in men","> 90 cm in women, > 100 cm in men","> 80 cm in both sexes","> 102 cm in women, > 88 cm in men",1,Risk Factors,Hard,"Lower cutoffs for South Asians: >80 cm women, >90 cm men","WHO Expert Consultation 2004"
